0,1,2
2.0,10.0,126.60539815282768
2.0,1.0,10.403311195317269
2.0,2.0,2.5907690417690077
2.0,3.0,1.4389616168318702
2.0,4.0,1.2750299415255724
2.0,5.0,1.5836467392978828
2.0,6.0,3.0620417751806785
2.0,7.0,7.5694360682607496
2.0,8.0,15.83975078500985
2.0,9.0,36.236887977724734
